CREATEDAT,CUSTOMERID,DATE,TOTAL,ID
2021-10-16 16:06:11.000,33206,2021-10-16 00:00:00.000,78.32,595499
2021-10-16 19:03:23.000,32337,2021-10-16 00:00:00.000,113.23,596143
2021-10-16 19:03:31.000,33847,2021-10-16 00:00:00.000,59.09,596171
2021-10-17 16:05:27.000,32685,2021-10-17 00:00:00.000,143.58,596833
2021-10-17 16:05:02.000,31638,2021-10-17 00:00:00.000,78.32,596676
2021-10-17 16:04:30.000,30755,2021-10-17 00:00:00.000,182.74,596371
2021-10-17 16:04:30.000,32497,2021-10-17 00:00:00.000,78.32,596366
2021-10-17 16:05:29.000,29811,2021-10-17 00:00:00.000,78.32,596853
2021-10-17 16:04:29.000,32466,2021-10-17 00:00:00.000,100.08,596359
2021-10-17 16:04:42.000,33507,2021-10-17 00:00:00.000,143.58,596516
2021-10-17 16:04:31.000,30715,2021-10-17 00:00:00.000,58.75,596376
2021-10-17 16:04:30.000,33669,2021-10-17 00:00:00.000,100.08,596365
2021-10-17 16:04:29.000,33456,2021-10-17 00:00:00.000,58.75,596362
2021-10-17 16:04:37.000,30958,2021-10-17 00:00:00.000,143.58,596461
2021-10-17 16:04:46.000,31539,2021-10-17 00:00:00.000,66.9,596571
2021-10-17 16:04:18.000,32212,2021-10-17 00:00:00.000,152.29,596213
2021-10-17 16:04:30.000,32919,2021-10-17 00:00:00.000,100.08,596364
2021-10-17 16:04:52.000,32525,2021-10-17 00:00:00.000,85.94,596621
2021-10-17 16:05:16.000,31683,2021-10-17 00:00:00.000,137.07,596767
2021-10-17 16:05:00.000,31826,2021-10-17 00:00:00.000,78.32,596665
2021-10-17 16:05:02.000,31208,2021-10-17 00:00:00.000,58.75,596675
2021-10-17 16:05:22.000,33397,2021-10-17 00:00:00.000,143.58,596804
2021-10-17 16:04:37.000,32839,2021-10-17 00:00:00.000,58.75,596451
2021-10-17 16:05:29.000,33514,2021-10-17 00:00:00.000,78.32,596847
2021-10-17 16:05:09.000,33424,2021-10-17 00:00:00.000,156.65,596719
2021-10-17 16:04:42.000,30665,2021-10-17 00:00:00.000,78.32,596521
2021-10-17 16:04:46.000,33770,2021-10-17 00:00:00.000,84.86,596568
2021-10-17 16:05:05.000,31786,2021-10-17 00:00:00.000,78.32,596691
2021-10-17 16:05:25.000,29867,2021-10-17 00:00:00.000,82.68,596820
2021-10-17 16:05:22.000,29940,2021-10-17 00:00:00.000,143.58,596801
2021-10-17 16:04:31.000,29916,2021-10-17 00:00:00.000,100.08,596378
2021-10-17 16:04:44.000,30739,2021-10-17 00:00:00.000,75.61,596537
2021-10-17 16:04:30.000,32357,2021-10-17 00:00:00.000,58.75,596363
2021-10-17 16:04:29.000,32534,2021-10-17 00:00:00.000,100.08,596361
2021-10-17 16:05:29.000,31455,2021-10-17 00:00:00.000,58.75,596854
2021-10-17 16:05:07.000,29838,2021-10-17 00:00:00.000,58.75,596707
2021-10-17 16:04:31.000,30785,2021-10-17 00:00:00.000,58.75,596379
2021-10-17 16:04:30.000,32475,2021-10-17 00:00:00.000,78.32,596373
2021-10-17 16:04:43.000,32524,2021-10-17 00:00:00.000,58.75,596528
2021-10-17 16:04:30.000,31205,2021-10-17 00:00:00.000,143.58,596369
2021-10-17 19:01:33.000,33714,2021-10-17 00:00:00.000,73.86,597067
2021-10-18 16:02:49.000,29845,2021-10-18 00:00:00.000,78.32,597376
2021-10-18 16:02:17.000,30306,2021-10-18 00:00:00.000,100.08,597166
2021-10-18 16:02:16.000,32690,2021-10-18 00:00:00.000,100.08,597159
2021-10-18 16:02:16.000,31787,2021-10-18 00:00:00.000,78.32,597158
2021-10-18 16:02:55.000,30939,2021-10-18 00:00:00.000,79.97,597407
2021-10-18 16:02:34.000,31993,2021-10-18 00:00:00.000,78.32,597320
2021-10-18 16:02:21.000,33422,2021-10-18 00:00:00.000,104.43,597205
2021-10-18 16:02:32.000,30901,2021-10-18 00:00:00.000,78.32,597309
2021-10-18 16:03:13.000,33803,2021-10-18 00:00:00.000,58.75,597516
2021-10-18 16:02:39.000,30871,2021-10-18 00:00:00.000,100.08,597342
2021-10-18 16:02:33.000,30800,2021-10-18 00:00:00.000,58.75,597317
2021-10-18 16:02:29.000,33126,2021-10-18 00:00:00.000,78.32,597282
2021-10-18 16:02:23.000,33812,2021-10-18 00:00:00.000,143.58,597224
2021-10-18 16:02:32.000,32590,2021-10-18 00:00:00.000,0,597310
2021-10-18 16:02:17.000,30190,2021-10-18 00:00:00.000,78.32,597167
2021-10-18 16:02:21.000,33683,2021-10-18 00:00:00.000,100.08,597202
2021-10-18 16:02:34.000,30089,2021-10-18 00:00:00.000,78.32,597322
2021-10-18 16:02:53.000,30714,2021-10-18 00:00:00.000,65.28,597398
2021-10-18 16:02:49.000,31324,2021-10-18 00:00:00.000,78.32,597377
2021-10-18 16:03:10.000,30623,2021-10-18 00:00:00.000,58.75,597497
2021-10-18 16:02:16.000,33600,2021-10-18 00:00:00.000,78.32,597152
2021-10-20 16:18:12.000,31051,2021-10-20 00:00:00.000,143.58,599585
2021-10-20 16:13:39.000,31528,2021-10-20 00:00:00.000,78.32,598052
2021-10-20 16:13:40.000,31574,2021-10-20 00:00:00.000,58.75,598056
2021-10-20 16:19:42.000,33821,2021-10-20 00:00:00.000,129.44,600051
2021-10-20 16:14:46.000,31166,2021-10-20 00:00:00.000,78.32,598562
2021-10-20 16:15:14.000,33432,2021-10-20 00:00:00.000,58.75,598754
2021-10-20 16:14:59.000,32701,2021-10-20 00:00:00.000,78.32,598644
2021-10-20 16:15:03.000,32453,2021-10-20 00:00:00.000,78.32,598680
