CREATEDAT,DELIVERYDATE,ID,INVOICEID,USERID
2021-08-02 20:01:48.000,2021-08-08 00:00:00.000,810729,465840,29868
2021-08-05 13:41:49.000,2021-08-08 00:00:00.000,816339,464941,31479
2021-08-06 03:09:52.000,2021-08-12 00:00:00.000,818515,,32212
2021-08-06 03:12:14.000,2021-08-19 00:00:00.000,818521,,32212
2021-08-06 07:09:47.000,2021-08-18 00:00:00.000,818745,,33001
2021-08-06 15:30:01.000,2021-08-15 00:00:00.000,819323,,30835
2021-08-06 14:11:39.000,2021-08-16 00:00:00.000,819065,,33749
2021-08-06 12:30:20.000,2021-08-13 00:00:00.000,818883,,30698
2021-08-05 01:22:01.000,2021-08-09 00:00:00.000,815655,469298,32735
2021-08-06 21:11:55.000,2021-08-09 00:00:00.000,820502,467666,30069
2021-08-02 22:59:26.000,2021-08-09 00:00:00.000,811271,471644,32718
2021-08-06 22:57:12.000,2021-08-09 00:00:00.000,821058,471106,33161
2021-07-28 05:53:57.000,2021-08-09 00:00:00.000,798545,470642,32124
2021-08-06 14:45:49.000,2021-08-09 00:00:00.000,819191,468533,30355
2021-08-06 16:12:47.000,2021-08-09 00:00:00.000,819447,468374,30297
2021-08-06 21:11:45.000,2021-08-09 00:00:00.000,820500,467660,29953
2021-07-31 17:29:55.000,2021-08-09 00:00:00.000,806574,470322,32240
2021-07-29 00:10:58.000,2021-08-09 00:00:00.000,799668,470594,33261
2021-07-26 00:32:58.000,2021-08-09 00:00:00.000,794549,470806,33359
2021-08-06 16:02:26.000,2021-08-09 00:00:00.000,819423,468383,32932
2021-08-06 15:08:56.000,2021-08-09 00:00:00.000,819269,468472,31371
2021-08-03 12:50:44.000,2021-08-09 00:00:00.000,812083,469902,31750
2021-08-04 20:05:38.000,2021-08-09 00:00:00.000,814988,469422,32902
2021-08-06 14:58:22.000,2021-08-09 00:00:00.000,819236,468498,33386
2021-08-06 19:03:35.000,2021-08-09 00:00:00.000,819840,468197,32791
2021-08-06 21:11:56.000,2021-08-09 00:00:00.000,820510,467658,30444
2021-07-24 14:27:42.000,2021-08-09 00:00:00.000,791479,467234,32885
2021-07-28 02:33:23.000,2021-08-09 00:00:00.000,798352,470643,33577
2021-08-06 17:33:29.000,2021-08-09 00:00:00.000,819662,468287,31874
2021-08-06 14:18:36.000,2021-08-09 00:00:00.000,819086,468606,30132
2021-07-29 13:49:59.000,2021-08-09 00:00:00.000,800569,471799,33843
2021-08-03 14:42:56.000,2021-08-09 00:00:00.000,812208,469882,31505
2021-08-06 15:12:18.000,2021-08-09 00:00:00.000,819282,468470,31067
2021-08-06 18:01:22.000,2021-08-09 00:00:00.000,819721,468257,31196
2021-08-05 16:22:56.000,2021-08-09 00:00:00.000,816721,469119,31040
2021-08-05 10:26:55.000,2021-08-09 00:00:00.000,816156,469233,33617
2021-08-06 16:57:16.000,2021-08-09 00:00:00.000,819576,468320,32876
2021-08-06 21:12:38.000,2021-08-09 00:00:00.000,820548,467616,32043
2021-08-06 16:29:16.000,2021-08-09 00:00:00.000,819497,468355,32920
2021-08-05 00:10:20.000,2021-08-09 00:00:00.000,815484,469338,33404
2021-08-06 21:11:44.000,2021-08-09 00:00:00.000,820493,467671,29978
2021-08-03 00:39:28.000,2021-08-09 00:00:00.000,811522,469990,31946
2021-07-25 05:17:27.000,2021-08-09 00:00:00.000,792862,470853,31755
2021-08-05 12:18:30.000,2021-08-09 00:00:00.000,816216,469216,32826
2021-07-31 20:28:55.000,2021-08-09 00:00:00.000,806828,470314,30356
2021-08-06 21:11:55.000,2021-08-09 00:00:00.000,820506,467656,30327
2021-07-27 21:05:31.000,2021-08-09 00:00:00.000,797718,470672,30085
2021-08-06 20:31:41.000,2021-08-09 00:00:00.000,820024,468092,33257
2021-07-30 19:36:05.000,2021-08-09 00:00:00.000,804300,470441,30115
2021-08-06 21:11:45.000,2021-08-09 00:00:00.000,820497,467668,30031
2021-08-06 21:12:26.000,2021-08-09 00:00:00.000,820537,467633,31294
2021-08-06 14:12:40.000,2021-08-09 00:00:00.000,819070,468616,32162
2021-08-04 22:43:18.000,2021-08-09 00:00:00.000,815280,469379,33040
2021-08-06 21:13:04.000,2021-08-09 00:00:00.000,820572,467592,33055
2021-08-06 21:11:55.000,2021-08-09 00:00:00.000,820507,467653,30353
2021-08-06 21:12:07.000,2021-08-09 00:00:00.000,820522,467642,30839
2021-08-06 21:11:56.000,2021-08-09 00:00:00.000,820509,467657,30384
2021-07-30 23:36:21.000,2021-08-09 00:00:00.000,805445,470446,32627
2021-08-06 14:17:02.000,2021-08-09 00:00:00.000,819083,468612,33749
2021-08-03 20:02:40.000,2021-08-09 00:00:00.000,813143,469733,30753
2021-08-05 11:26:57.000,2021-08-09 00:00:00.000,816185,469225,31266
2021-08-02 15:58:00.000,2021-08-09 00:00:00.000,810287,470113,31332
2021-08-06 15:37:56.000,2021-08-09 00:00:00.000,819345,468424,32844
2021-08-06 15:33:26.000,2021-08-09 00:00:00.000,819336,468432,30740
2021-08-04 19:14:09.000,2021-08-09 00:00:00.000,814898,469441,29802
2021-08-05 16:38:11.000,2021-08-09 00:00:00.000,816756,469110,30179
2021-08-03 18:04:58.000,2021-08-09 00:00:00.000,812915,471578,32887
2021-08-06 21:11:56.000,2021-08-09 00:00:00.000,820508,467654,30316
2021-08-06 15:37:26.000,2021-08-09 00:00:00.000,819344,468434,30882
2021-08-02 01:15:32.000,2021-08-09 00:00:00.000,809528,470182,31087
2021-07-27 18:46:47.000,2021-08-09 00:00:00.000,797373,470690,31812
2021-08-06 21:12:29.000,2021-08-09 00:00:00.000,820542,467623,31640
2021-08-06 21:11:55.000,2021-08-09 00:00:00.000,820504,467662,30434
2021-08-06 20:29:23.000,2021-08-09 00:00:00.000,820018,468093,30123
2021-08-04 15:23:55.000,2021-08-09 00:00:00.000,814571,469495,33622
2021-08-06 21:12:38.000,2021-08-09 00:00:00.000,820546,467618,31999
2021-08-06 21:12:05.000,2021-08-09 00:00:00.000,820517,467650,30682
2021-08-06 21:12:15.000,2021-08-09 00:00:00.000,820524,467637,31113
2021-08-04 11:40:49.000,2021-08-09 00:00:00.000,814370,469545,31728
2021-08-05 13:06:22.000,2021-08-09 00:00:00.000,816267,469201,30498
2021-08-06 19:43:27.000,2021-08-09 00:00:00.000,819927,468150,30288
