CREATEDAT,ID,INVOICEID,STATUS
2021-09-16 16:36:12.000,591293,538516,accepted
2021-09-16 16:32:41.000,589494,540267,accepted
2021-09-16 16:33:11.000,589755,540014,accepted
2021-09-16 16:39:28.000,592552,537402,rejected
2021-09-16 16:37:08.000,591772,538042,accepted
2021-09-16 16:33:38.000,589997,539779,accepted
2021-09-16 16:39:32.000,592574,537385,rejected
2021-09-16 16:39:26.000,592533,537419,accepted
2021-09-16 16:35:14.000,590817,538972,accepted
2021-09-16 16:32:08.000,589183,540574,accepted
2021-09-16 16:33:14.000,589782,539988,accepted
2021-09-16 16:34:19.000,590352,539427,accepted
2021-09-16 16:36:32.000,591460,538349,accepted
2021-09-16 16:36:24.000,591401,538408,accepted
2021-09-16 16:36:15.000,591321,538488,accepted
2021-09-16 16:33:15.000,589792,539978,accepted
2021-09-16 16:36:10.000,591268,538541,accepted
2021-09-16 16:35:36.000,590989,538812,accepted
2021-09-16 16:36:34.000,591482,538328,accepted
2021-09-16 16:35:04.000,590757,539031,accepted
2021-09-16 16:33:10.000,589747,540022,accepted
2021-09-16 16:33:11.000,589758,540011,accepted
2021-09-16 16:39:36.000,592603,537365,accepted
2021-09-16 16:34:45.000,590599,539189,accepted
2021-09-16 16:33:56.000,590169,539608,accepted
2021-09-16 16:35:38.000,591007,538795,accepted
2021-09-16 16:37:19.000,591874,537943,accepted
2021-09-16 16:39:26.000,592536,537416,rejected
2021-09-16 16:39:26.000,592539,537414,accepted
2021-09-16 16:32:48.000,589561,540201,accepted
2021-09-16 16:32:23.000,589327,540431,accepted
2021-09-16 16:36:28.000,591429,538380,rejected
2021-09-16 16:37:17.000,591852,537965,accepted
2021-09-16 16:32:48.000,589558,540204,accepted
2021-09-16 16:32:47.000,589547,540215,accepted
2021-09-16 16:39:24.000,592517,537434,rejected
2021-09-16 16:39:37.000,592610,537359,accepted
2021-09-16 16:33:33.000,589956,539819,accepted
2021-09-16 16:32:46.000,589533,540229,accepted
2021-09-16 16:37:22.000,591896,537921,accepted
2021-09-16 16:39:35.000,592596,537370,accepted
2021-09-16 16:36:05.000,591224,538583,accepted
2021-09-16 16:33:50.000,590118,539659,accepted
2021-09-16 16:32:49.000,589567,540196,accepted
2021-09-16 16:33:19.000,589828,539943,accepted
2021-09-16 16:36:43.000,591560,538251,accepted
2021-09-16 16:35:02.000,590745,539043,accepted
2021-09-16 16:32:29.000,589380,540379,accepted
2021-09-16 16:34:32.000,590459,539328,accepted
2021-09-16 16:36:49.000,591607,538206,accepted
2021-09-16 16:34:21.000,590368,539411,accepted
2021-09-16 16:32:27.000,589361,540398,accepted
2021-09-16 16:34:34.000,590492,539296,accepted
2021-09-16 16:36:57.000,591671,538143,accepted
2021-09-16 16:39:32.000,592575,537384,accepted
2021-09-16 16:36:41.000,591541,538269,accepted
2021-09-16 16:39:34.000,592587,537403,rejected
2021-09-16 16:36:06.000,591236,538571,accepted
2021-09-16 16:36:10.000,591269,538540,accepted
2021-09-16 16:36:40.000,591536,538274,accepted
2021-09-16 16:39:31.000,592568,537426,rejected
2021-09-16 16:39:23.000,592512,537437,accepted
2021-09-16 16:32:54.000,589606,540158,accepted
2021-09-16 16:33:34.000,589964,539812,accepted
2021-09-16 16:35:49.000,591093,538709,accepted
2021-09-16 16:36:58.000,591680,538134,accepted
2021-09-16 16:37:18.000,591862,537955,accepted
2021-09-16 16:36:34.000,591476,538333,accepted
2021-09-16 16:39:31.000,592567,537424,rejected
2021-09-16 16:32:18.000,589277,540480,accepted
2021-09-16 16:32:48.000,589566,540287,rejected
2021-09-16 16:39:31.000,592570,537422,rejected
2021-09-16 16:32:33.000,589420,540339,accepted
2021-09-16 16:36:28.000,591434,538375,accepted
2021-09-16 16:34:42.000,590567,539221,accepted
2021-09-16 16:39:30.000,592561,537394,accepted
2021-09-16 16:39:25.000,592529,537423,accepted
2021-09-16 16:32:14.000,589239,540518,accepted
2021-09-16 16:36:04.000,591214,538593,accepted
2021-09-16 16:32:53.000,589601,540163,accepted
2021-09-16 16:32:44.000,589525,540237,accepted
2021-09-16 16:35:56.000,591149,538655,accepted
2021-09-16 16:32:05.000,589163,540592,accepted
2021-09-16 16:32:43.000,589507,540254,accepted
2021-09-16 16:39:37.000,592618,537389,rejected
2021-09-16 16:39:32.000,592572,537387,accepted
2021-09-16 16:39:34.000,592588,537376,accepted
2021-09-16 16:33:58.000,590189,539588,accepted
2021-09-16 16:32:08.000,589181,540576,accepted
2021-09-16 16:39:35.000,592597,537369,rejected
2021-09-16 16:35:29.000,590927,538870,accepted
2021-09-16 16:34:41.000,590555,539233,accepted
2021-09-16 16:36:16.000,591331,538478,accepted
2021-09-16 16:32:56.000,589625,540140,accepted
2021-09-16 16:32:41.000,589496,540265,accepted
2021-09-16 16:33:15.000,589795,539976,accepted
2021-09-16 16:39:35.000,592601,537367,accepted
2021-09-16 16:32:31.000,589396,540363,accepted
2021-09-16 16:36:06.000,591238,538569,accepted
2021-09-16 16:32:59.000,589653,540113,accepted
2021-09-16 16:35:20.000,590862,539082,rejected
2021-09-16 16:34:10.000,590290,539489,accepted
2021-09-16 16:35:40.000,591026,538776,accepted
2021-09-16 16:33:58.000,590183,539594,accepted
2021-09-16 16:35:57.000,591158,538646,accepted
2021-09-16 16:39:28.000,592549,537404,accepted
2021-09-16 16:32:40.000,589486,540275,accepted
2021-09-16 16:34:01.000,590217,539560,accepted
2021-09-16 16:32:16.000,589256,540501,accepted
2021-09-16 16:39:29.000,592557,537398,accepted
2021-09-16 16:34:56.000,590703,539085,accepted
2021-09-16 16:32:58.000,589647,540119,accepted
2021-09-16 16:39:27.000,592546,537407,rejected
2021-09-16 16:36:44.000,591564,538247,accepted
2021-09-16 16:33:10.000,589752,540017,accepted
2021-09-16 16:32:56.000,589628,540137,accepted
2021-09-16 16:39:33.000,592578,537412,rejected
2021-09-16 16:39:29.000,592556,537399,accepted
2021-09-16 16:34:36.000,590508,539280,accepted
2021-09-16 16:39:36.000,592606,537362,accepted
2021-09-16 16:32:07.000,589176,540581,accepted
2021-09-16 16:32:35.000,589437,540322,accepted
2021-09-16 16:34:19.000,590358,539421,accepted
2021-09-16 16:33:34.000,589961,539815,accepted
2021-09-16 16:33:37.000,589991,539785,accepted
2021-09-16 16:33:14.000,589785,539985,accepted
2021-09-16 16:32:46.000,589534,540228,accepted
2021-09-16 16:39:36.000,592604,537364,rejected
2021-09-16 16:34:37.000,590512,539276,accepted
2021-09-16 16:35:26.000,590903,538894,accepted
2021-09-16 16:39:26.000,592535,537417,accepted
2021-09-16 16:36:03.000,591203,538603,accepted
2021-09-16 16:39:41.000,592644,537364,rejected
2021-09-16 16:39:31.000,592569,537389,rejected
2021-09-16 16:34:09.000,590278,539501,accepted
2021-09-16 16:39:24.000,592518,537433,accepted
2021-09-16 16:36:07.000,591244,538563,accepted
2021-09-16 16:34:47.000,590611,539177,accepted
2021-09-16 16:39:29.000,592554,537400,rejected
2021-09-16 16:39:28.000,592551,537403,rejected
2021-09-16 16:34:36.000,590502,539286,accepted
2021-09-16 16:34:19.000,590354,539425,accepted
2021-09-16 16:33:47.000,590082,539694,accepted
2021-09-16 16:33:43.000,590050,539726,accepted
2021-09-16 16:36:45.000,591579,538234,accepted
