CREATEDAT,DATE,EVENT,ID,USERID
2021-03-02 16:55:08.000,2021-03-02 00:00:00.000,subscribe,270998,30012
2021-03-02 16:58:27.000,2021-03-02 00:00:00.000,subscribe,270999,30013
2021-03-02 17:00:54.000,2021-03-02 00:00:00.000,subscribe,271000,30014
2021-03-02 17:02:53.000,2021-03-02 00:00:00.000,subscribe,271001,30015
2021-03-02 17:40:05.000,2021-03-02 00:00:00.000,subscribe,271020,30020
2021-03-02 17:09:11.000,2021-03-02 00:00:00.000,subscribe,271008,30016
2021-03-02 17:47:38.000,2021-03-02 00:00:00.000,subscribe,271024,30022
2021-03-02 17:43:52.000,2021-03-02 00:00:00.000,subscribe,271022,30021
2021-03-02 17:38:34.000,2021-03-02 00:00:00.000,subscribe,271018,30018
2021-03-02 17:25:16.000,2021-03-02 00:00:00.000,subscribe,271015,30017
2021-03-02 17:38:38.000,2021-03-02 00:00:00.000,subscribe,271019,30019
2021-03-02 18:03:26.000,2021-03-02 00:00:00.000,subscribe,271031,30024
2021-03-02 18:20:41.000,2021-03-02 00:00:00.000,subscribe,271037,30026
2021-03-02 18:20:46.000,2021-03-02 00:00:00.000,subscribe,271038,30027
2021-03-02 17:59:48.000,2021-03-02 00:00:00.000,subscribe,271029,30023
2021-03-02 18:15:41.000,2021-03-02 00:00:00.000,subscribe,271033,30025
2021-03-02 18:24:31.000,2021-03-02 00:00:00.000,subscribe,271040,30029
2021-03-02 18:21:36.000,2021-03-02 00:00:00.000,subscribe,271039,30028
2021-03-02 18:25:35.000,2021-03-02 00:00:00.000,unsubscribe,271042,29981
2021-03-02 18:45:34.000,2021-03-02 00:00:00.000,subscribe,271046,30031
2021-03-02 18:25:24.000,2021-03-02 00:00:00.000,unsubscribe,271041,29902
2021-03-02 18:47:49.000,2021-03-02 00:00:00.000,subscribe,271047,30032
2021-03-02 18:32:57.000,2021-03-02 00:00:00.000,subscribe,271043,30030
2021-03-02 18:59:51.000,2021-03-02 00:00:00.000,subscribe,271052,30034
2021-03-02 19:01:44.000,2021-03-02 00:00:00.000,subscribe,271053,30035
2021-03-02 18:53:58.000,2021-03-02 00:00:00.000,subscribe,271051,30033
2021-03-02 19:09:11.000,2021-03-02 00:00:00.000,subscribe,271055,30036
2021-03-02 19:15:58.000,2021-03-02 00:00:00.000,subscribe,271059,30037
2021-03-02 20:18:32.000,2021-03-02 00:00:00.000,subscribe,271069,30041
2021-03-02 20:08:47.000,2021-03-02 00:00:00.000,subscribe,271066,30040
2021-03-02 20:01:05.000,2021-03-02 00:00:00.000,subscribe,271064,30039
2021-03-02 19:42:55.000,2021-03-02 00:00:00.000,subscribe,271063,30038
2021-03-02 20:26:40.000,2021-03-02 00:00:00.000,subscribe,271072,30042
2021-03-02 21:04:20.000,2021-03-02 00:00:00.000,subscribe,271080,30045
2021-03-02 20:56:28.000,2021-03-02 00:00:00.000,subscribe,271076,30043
2021-03-02 20:57:46.000,2021-03-02 00:00:00.000,subscribe,271078,30044
2021-03-02 21:13:34.000,2021-03-02 00:00:00.000,subscribe,271081,30046
2021-03-02 21:13:41.000,2021-03-02 00:00:00.000,subscribe,271082,30047
2021-03-02 21:37:03.000,2021-03-02 00:00:00.000,subscribe,271083,30048
2021-03-02 21:39:20.000,2021-03-02 00:00:00.000,subscribe,271084,30049
2021-03-02 22:06:31.000,2021-03-02 00:00:00.000,subscribe,271092,30052
2021-03-02 22:05:19.000,2021-03-02 00:00:00.000,subscribe,271091,30051
2021-03-02 22:16:08.000,2021-03-02 00:00:00.000,subscribe,271095,30054
2021-03-02 21:55:04.000,2021-03-02 00:00:00.000,subscribe,271090,30050
2021-03-02 22:07:45.000,2021-03-02 00:00:00.000,subscribe,271093,30053
2021-03-02 22:30:36.000,2021-03-02 00:00:00.000,subscribe,271099,30055
2021-03-02 22:31:43.000,2021-03-02 00:00:00.000,subscribe,271100,30056
2021-03-02 22:50:56.000,2021-03-02 00:00:00.000,subscribe,271106,30057
2021-03-02 22:53:11.000,2021-03-02 00:00:00.000,subscribe,271107,30058
2021-03-02 23:18:47.000,2021-03-02 00:00:00.000,subscribe,271116,30062
2021-03-02 23:05:06.000,2021-03-02 00:00:00.000,subscribe,271112,30059
2021-03-02 23:06:44.000,2021-03-02 00:00:00.000,subscribe,271113,30060
2021-03-02 23:15:00.000,2021-03-02 00:00:00.000,subscribe,271114,30061
2021-03-02 23:28:57.000,2021-03-02 00:00:00.000,subscribe,271120,30064
2021-03-02 23:32:58.000,2021-03-02 00:00:00.000,subscribe,271123,30066
2021-03-02 23:25:16.000,2021-03-02 00:00:00.000,subscribe,271119,30063
2021-03-02 23:29:03.000,2021-03-02 00:00:00.000,subscribe,271121,30065
2021-03-02 23:36:44.000,2021-03-02 00:00:00.000,subscribe,271124,30067
2021-03-02 23:39:03.000,2021-03-02 00:00:00.000,subscribe,271125,30068
2021-03-03 00:21:12.000,2021-03-03 00:00:00.000,subscribe,271133,30075
2021-03-02 23:55:38.000,2021-03-02 00:00:00.000,subscribe,271127,30070
2021-03-03 00:04:31.000,2021-03-03 00:00:00.000,subscribe,271129,30072
2021-03-03 00:05:49.000,2021-03-03 00:00:00.000,subscribe,271130,30073
2021-03-02 23:58:48.000,2021-03-02 00:00:00.000,subscribe,271128,30071
2021-03-02 23:46:59.000,2021-03-02 00:00:00.000,subscribe,271126,30069
2021-03-03 00:12:56.000,2021-03-03 00:00:00.000,subscribe,271132,30074
2021-03-03 00:21:18.000,2021-03-03 00:00:00.000,subscribe,271134,30076
2021-03-03 00:34:15.000,2021-03-03 00:00:00.000,subscribe,271135,30077
2021-03-03 00:41:24.000,2021-03-03 00:00:00.000,subscribe,271136,30078
2021-03-03 00:42:48.000,2021-03-03 00:00:00.000,subscribe,271137,30079
2021-03-03 01:08:42.000,2021-03-03 00:00:00.000,subscribe,271143,30082
2021-03-03 01:05:15.000,2021-03-03 00:00:00.000,subscribe,271142,30081
2021-03-03 01:02:46.000,2021-03-03 00:00:00.000,subscribe,271140,30080
2021-03-03 01:49:14.000,2021-03-03 00:00:00.000,subscribe,271150,30088
2021-03-03 01:52:28.000,2021-03-03 00:00:00.000,subscribe,271151,30089
2021-03-03 01:27:56.000,2021-03-03 00:00:00.000,subscribe,271146,30084
2021-03-03 01:36:52.000,2021-03-03 00:00:00.000,subscribe,271148,30086
2021-03-03 01:42:21.000,2021-03-03 00:00:00.000,subscribe,271149,30087
2021-03-03 01:22:25.000,2021-03-03 00:00:00.000,subscribe,271145,30083
2021-03-03 01:31:18.000,2021-03-03 00:00:00.000,subscribe,271147,30085
2021-03-03 01:53:29.000,2021-03-03 00:00:00.000,subscribe,271153,30090
2021-03-03 02:04:11.000,2021-03-03 00:00:00.000,subscribe,271157,30093
2021-03-03 02:01:51.000,2021-03-03 00:00:00.000,subscribe,271155,30091
2021-03-03 02:03:01.000,2021-03-03 00:00:00.000,subscribe,271156,30092
2021-03-03 02:04:22.000,2021-03-03 00:00:00.000,subscribe,271158,30094
2021-03-03 02:23:23.000,2021-03-03 00:00:00.000,subscribe,271162,30095
2021-03-03 02:36:31.000,2021-03-03 00:00:00.000,subscribe,271163,30096
2021-03-03 02:42:40.000,2021-03-03 00:00:00.000,subscribe,271164,30097
2021-03-03 03:17:33.000,2021-03-03 00:00:00.000,subscribe,271176,30101
2021-03-03 03:00:31.000,2021-03-03 00:00:00.000,subscribe,271168,30098
2021-03-03 03:22:35.000,2021-03-03 00:00:00.000,subscribe,271178,30102
