CREATEDAT,ID,SKIPID
2021-10-07 16:58:51.000,67776,1222847
2021-09-29 21:45:42.000,66331,1223387
2021-10-15 20:56:29.000,69237,1223204
2021-09-27 12:03:15.000,65696,1223508
2021-10-03 16:35:47.000,66867,1224424
2021-10-07 13:46:26.000,67723,1225704
2021-09-26 15:38:17.000,65567,1223382
2021-09-27 13:12:51.000,65700,1225404
2021-09-27 15:25:13.000,65721,1225807
2021-10-07 23:57:13.000,67839,1226227
2021-09-28 00:31:24.000,65827,1227949
2021-10-12 19:43:27.000,68581,1228753
2021-10-10 23:11:27.000,68230,1226540
2021-09-27 22:15:02.000,65795,1227364
2021-10-14 23:43:13.000,69098,1229414
2021-10-05 15:03:37.000,67209,1230852
2021-10-12 20:41:36.000,68602,1233735
2021-10-12 18:15:48.000,68546,1232665
2021-10-12 19:05:48.000,68569,1229474
2021-10-11 06:55:10.000,68279,1234314
2021-10-14 15:02:31.000,68984,1229883
2021-10-05 01:15:10.000,67114,1231201
2021-10-04 16:37:42.000,67016,1234540
2021-11-05 16:21:00.000,73486,1235062
2021-09-29 23:11:12.000,66345,1238978
2021-11-07 23:38:59.000,73838,1235067
2021-10-20 01:19:01.000,69959,1235033
2021-09-30 17:00:47.000,66476,1235004
2021-10-27 23:32:44.000,71570,1235053
2021-10-08 00:40:28.000,67845,1237282
2021-10-07 23:44:11.000,67836,1242310
2021-10-01 16:33:06.000,66626,1242017
2021-09-30 20:48:12.000,66518,1239946
2021-10-01 02:13:06.000,66570,1241987
2021-10-11 21:32:22.000,68360,1240731
2021-10-02 00:09:14.000,66676,1242287
2021-10-09 16:49:55.000,68062,1245687
2021-10-18 23:59:01.000,69656,1245700
2021-10-09 16:50:38.000,68072,1245708
2021-10-09 16:50:26.000,68067,1245692
2021-10-02 22:53:12.000,66795,1243638
2021-10-09 16:50:32.000,68070,1245694
2021-10-09 16:49:58.000,68063,1245686
2021-10-09 16:49:51.000,68061,1245681
2021-11-07 23:31:28.000,73834,1245716
2021-10-09 16:50:34.000,68071,1245698
2021-10-14 14:41:27.000,68981,1244872
2021-10-03 23:52:51.000,66923,1246643
2021-10-26 15:04:59.000,71115,1245712
2021-10-18 23:59:03.000,69657,1245702
2021-10-09 16:50:24.000,68066,1245690
2021-10-18 23:58:58.000,69655,1245696
2021-10-19 00:03:48.000,69660,1245701
2021-10-26 15:03:04.000,71114,1245703
2021-10-11 17:49:11.000,68324,1242321
2021-10-01 03:06:29.000,66577,1244453
2021-10-12 04:39:55.000,68441,1245695
2021-10-19 00:04:04.000,69661,1245705
2021-10-09 16:50:30.000,68069,1245691
2021-10-02 00:28:39.000,66683,1247178
2021-09-30 19:37:26.000,66510,1242899
2021-10-09 16:50:19.000,68065,1245693
2021-10-12 04:39:48.000,68440,1245699
2021-10-09 16:50:17.000,68064,1245685
2021-10-09 16:50:29.000,68068,1245704
2021-10-12 18:27:45.000,68553,1247957
2021-11-03 16:30:06.000,72996,1247977
2021-10-16 01:02:30.000,69258,1249576
2021-11-02 02:53:00.000,72508,1250026
2021-10-15 02:23:23.000,69121,1247692
2021-10-17 16:33:51.000,69441,1247970
2021-10-17 16:37:10.000,69442,1247960
2021-10-17 16:29:21.000,69439,1247969
2021-10-08 11:03:37.000,67891,1253024
2021-10-04 16:07:53.000,67011,1253982
2021-10-16 23:58:41.000,69380,1266038
2021-10-12 00:43:05.000,68403,1266592
2021-10-13 23:20:17.000,68876,1267434
2021-10-20 21:41:09.000,70149,1268905
2021-10-07 14:14:20.000,67740,1269054
2021-10-19 02:27:57.000,69687,1272040
2021-10-08 05:19:27.000,67875,1272559
2021-11-11 19:28:42.000,74889,1272605
2021-11-04 14:33:38.000,73237,1273499
2021-10-14 18:12:56.000,69042,1274601
2021-10-29 00:27:06.000,71834,1276034
2021-10-28 22:35:16.000,71812,1279067
2021-10-19 15:55:05.000,69796,1257798
2021-10-08 13:20:37.000,67898,1258539
2021-10-12 16:13:48.000,68521,1266049
2021-10-07 00:35:44.000,67635,1267690
2021-10-26 20:00:21.000,71259,1272601
2021-10-04 22:03:03.000,67080,1254738
2021-10-12 14:55:13.000,68483,1255627
2021-10-20 18:08:04.000,70103,1257668
2021-10-16 00:43:29.000,69257,1262540
2021-10-10 17:24:41.000,68185,1264910
2021-10-10 01:46:11.000,68131,1267807
2021-10-21 14:09:00.000,70287,1273475
2021-11-17 16:42:16.000,76058,1273509
2021-11-17 16:43:02.000,76065,1273508
2021-11-17 16:43:00.000,76064,1273512
2021-10-21 18:47:07.000,70354,1274969
2021-10-12 16:27:40.000,68524,1276004
2021-10-20 12:37:58.000,70040,1279867
2021-10-06 22:43:11.000,67609,1250713
2021-10-12 23:35:45.000,68645,1252630
2021-10-19 02:03:31.000,69682,1254240
2021-10-08 13:50:45.000,67900,1254107
2021-10-21 16:50:13.000,70336,1254230
2021-10-12 18:21:16.000,68549,1254797
2021-10-14 18:32:50.000,69047,1258552
2021-10-05 20:26:35.000,67303,1261524
2021-10-15 18:23:28.000,69212,1263499
2021-10-20 23:02:16.000,70180,1267353
2021-10-14 16:48:07.000,69021,1270504
2021-10-07 17:31:52.000,67782,1270426
2021-11-17 16:42:45.000,76060,1273510
2021-11-17 16:42:55.000,76062,1273503
2021-10-07 10:31:52.000,67701,1268529
2021-10-14 22:09:36.000,69086,1272107
2021-10-18 05:21:38.000,69540,1275251
2021-10-05 14:22:06.000,67193,1253207
2021-10-16 01:38:46.000,69261,1256400
2021-10-13 00:43:05.000,68674,1260187
2021-10-19 03:53:54.000,69706,1261161
2021-10-20 15:58:43.000,70084,1263853
2021-11-03 03:46:34.000,72892,1272596
2021-10-15 14:46:53.000,69174,1273686
2021-10-09 22:56:31.000,68113,1277090
2021-10-19 22:16:15.000,69901,1279066
2021-10-04 18:36:02.000,67033,1254456
2021-10-06 00:37:18.000,67373,1258865
2021-10-20 13:37:10.000,70048,1260506
2021-10-05 20:27:42.000,67305,1261555
2021-10-07 09:02:00.000,67700,1268511
2021-10-13 16:46:37.000,68782,1270006
2021-10-26 19:55:28.000,71256,1272582
2021-10-21 14:08:55.000,70286,1273489
2021-11-17 16:42:46.000,76061,1273507
